Cities,Latitude,Longitude,Year,Population
Tokyo,35.6895,139.6917,2010,36.094
Mexico,19.4326,-99.1332,2010,20.117
Mumbai,19.076,72.8777,2010,20.072
Beijing,39.9042,116.4074,2010,19.612
Sao Paulo,-23.5505,-46.6333,2010,19.582
New York,40.7128,-74.006,2010,19.441
Delhi,28.7041,77.1025,2010,17.015
Shanghai,31.2304,121.4737,2010,20.6
Kolkata,22.5726,88.3639,2010,15.577
Dhaka,23.8103,90.4125,2010,14.796
Beunos Aires,-34.6037,-58.3816,2010,13.089
Karachi,24.8607,67.0011,2010,13.052
Los Angeles,34.0522,118.2437,2010,12.773
Cairo,30.0444,31.2357,2010,12.503
Rio,-22.9068,-43.1729,2010,12.171
Manila,14.5995,120.9842,2010,11.662
Moscow,55.7558,37.6173,2010,11.514
Istanbul,41.0082,28.9784,2010,10.823
Lagos,6.5244,3.3792,2010,10.572
Seoul,37.5665,126.978,2010,10.039
Paris,48.8566,2.3522,2010,9.958
Jakarta,-6.1805,106.8283,2010,28.02
Guangzhou,23.1291,113.2644,2010,12.78
Chicago,41.8781,-87.6298,2010,9.211
Kinshasa,-4.4419,15.2663,2010,9.052
Tokyo,35.6895,139.6917,2025,36.4
Mexico,19.4326,-99.1332,2025,21.009
Mumbai,19.076,72.8777,2025,26.385
Beijing,39.9042,116.4074,2025,24
Sao Paulo,-23.5505,-46.6333,2025,21.428
New York,40.7128,-74.006,2025,20.628
Delhi,28.7041,77.1025,2025,22.498
Shanghai,31.2304,121.4737,2025,30.48
Kolkata,22.5726,88.3639,2025,20.56
Dhaka,23.8103,90.4125,2025,22.015
Beunos Aires,-34.6037,-58.3816,2025,13.768
Karachi,24.8607,67.0011,2025,19.095
Los Angeles,34.0522,118.2437,2025,13.672
Cairo,30.0444,31.2357,2025,15.561
Rio,-22.9068,-43.1729,2025,13.413
Manila,14.5995,120.9842,2025,16.977
Moscow,55.7558,37.6173,2025,10.526
Istanbul,41.0082,28.9784,2025,12.102
Lagos,6.5244,3.3792,2025,15.796
Seoul,37.5665,126.978,2025,9.738
Paris,48.8566,2.3522,2025,10.036
Jakarta,-6.1805,106.8283,2025,30.26
Guangzhou,23.1291,113.2644,2025,14.88
Chicago,41.8781,-87.6298,2025,9.932
Kinshasa,-4.4419,15.2663,2025,16.762
Tokyo,35.6895,139.6917,2050,32.622
Mexico,19.4326,-99.1332,2050,24.329
Mumbai,19.076,72.8777,2050,42.404
Beijing,39.9042,116.4074,2050,60
Sao Paulo,-23.5505,-46.6333,2050,22.825
New York,40.7128,-74.006,2050,24.769
Delhi,28.7041,77.1025,2050,36.157
Shanghai,31.2304,121.4737,2050,50
Kolkata,22.5726,88.3639,2050,33.042
Dhaka,23.8103,90.4125,2050,35.193
Beunos Aires,-34.6037,-58.3816,2050,15.546
Karachi,24.8607,67.0011,2050,31.696
Los Angeles,34.0522,118.2437,2050,16.416
Cairo,30.0444,31.2357,2050,24.034
Rio,-22.9068,-43.1729,2050,14.287
Manila,14.5995,120.9842,2050,23.545
Moscow,55.7558,37.6173,2050,10.235
Istanbul,41.0082,28.9784,2050,14.176
Lagos,6.5244,3.3792,2050,32.63
Seoul,37.5665,126.978,2050,9.469
Paris,48.8566,2.3522,2050,11.124
Jakarta,-6.1805,106.8283,2050,32.38
Guangzhou,23.1291,113.2644,2050,17.325
Chicago,41.8781,-87.6298,2050,11.926
Kinshasa,-4.4419,15.2663,2050,35
Tokyo,35.6895,139.6917,2075,29.916
Mexico,19.4326,-99.1332,2075,24.178
Mumbai,19.076,72.8777,2075,57.862
Beijing,39.9042,116.4074,2075,60
Sao Paulo,-23.5505,-46.6333,2075,21.28
New York,40.7128,-74.006,2075,27.924
Delhi,28.7041,77.1025,2075,49.338
Shanghai,31.2304,121.4737,2075,50
Kolkata,22.5726,88.3639,2075,45.088
Dhaka,23.8103,90.4125,2075,46.219
Beunos Aires,-34.6037,-58.3816,2075,16.402
Karachi,24.8607,67.0011,2075,43.347
Los Angeles,34.0522,118.2437,2075,18.508
Cairo,30.0444,31.2357,2075,32.999
Rio,-22.9068,-43.1729,2075,16.557
Manila,14.5995,120.9842,2075,27.684
Moscow,55.7558,37.6173,2075,9.127
Istanbul,41.0082,28.9784,2075,14.667
Lagos,6.5244,3.3792,2075,57.195
Seoul,37.5665,126.978,2075,7.671
Paris,48.8566,2.3522,2075,11.638
Jakarta,-6.1805,106.8283,2075,35.294
Guangzhou,23.1291,113.2644,2075,20.166
Chicago,41.8781,-87.6298,2075,13.445
Kinshasa,-4.4419,15.2663,2075,58.424
Tokyo,35.6895,139.6917,2100,25.631
Mexico,19.4326,-99.1332,2100,22.219
Mumbai,19.076,72.8777,2100,67.24
Beijing,39.9042,116.4074,2100,60
Sao Paulo,-23.5505,-46.6333,2100,19.121
New York,40.7128,-74.006,2100,30.193
Delhi,28.7041,77.1025,2100,57.334
Shanghai,31.2304,121.4737,2100,50
Kolkata,22.5726,88.3639,2100,52.395
Dhaka,23.8103,90.4125,2100,54.25
Beunos Aires,-34.6037,-58.3816,2100,16.798
Karachi,24.8607,67.0011,2100,49.056
Los Angeles,34.0522,118.2437,2100,20.012
Cairo,30.0444,31.2357,2100,40.543
Rio,-22.9068,-43.1729,2100,19.845
Manila,14.5995,120.9842,2100,25.939
Moscow,55.7558,37.6173,2100,8.425
Istanbul,41.0082,28.9784,2100,14.791
Lagos,6.5244,3.3792,2100,88.345
Seoul,37.5665,126.978,2100,7.671
Paris,48.8566,2.3522,2100,11.862
Jakarta,-6.1805,106.8283,2100,38.823
Guangzhou,23.1291,113.2644,2100,23.474
Chicago,41.8781,-87.6298,2100,14.538
Kinshasa,-4.4419,15.2663,2100,83.494
